,date,helpful,name,rating,review_body,review_title
134,22 July 2019,,amrita mohanan nair,5.0 out of 5 stars,"No damage...super phone at low prices
","Wow
"
135,2 June 2019,,Genuine buyer,5.0 out of 5 stars,"No headset
","Good product
"
136,22 June 2019,,Suvojit Saha,4.0 out of 5 stars,"Camera is not good
","Not Bad
"
137,23 July 2019,,Sijimon.sd,4.0 out of 5 stars,"Today date 23/07/19 I am receiving the product. The manufacturing of product is August 2018...one year old product
","Old product
"
138,29 May 2019,,arun bhati,1.0 out of 5 stars,"Battery back up is not good, photo quality not good, configuration settings not set as required,
","Battery back up not good,
"
139,4 June 2019,,Baljeet,5.0 out of 5 stars,"Good
","Good
"
140,22 July 2019,One person found this helpful,Vijay sharma,1.0 out of 5 stars,"Quality is not good. Don't waste your money
","Waste of money
"
141,19 July 2019,,swapnil kumar,5.0 out of 5 stars,"Good product
","God
"
142,9 July 2019,,A k chimurkar,4.0 out of 5 stars,"Good looking phone , very handy but no pie update , needs improvement in in answering the call, waiting for pie update
","Good
"
143,30 July 2019,,Sushant,5.0 out of 5 stars,"Good phone at good price
","Good phone at good price
"
144,2 June 2019,,Pramod,5.0 out of 5 stars,"Working perfectly
","Working perfectly
"
145,29 June 2019,,Sooraj K.V.Manantheri,5.0 out of 5 stars,"Very good item and looks very cool
","Good product
"
146,21 July 2019,,Sandeep T,4.0 out of 5 stars,"Headset is mentioned in the includings but not given in the box
","No Headset
"
147,5 July 2019,,mukesh,5.0 out of 5 stars,"Ai is working well, good better life fingerprint recognition is fast.
","Better than MI PHONE
"
148,30 June 2019,,Neethusri,5.0 out of 5 stars,"Best under this price range... The camera works well and battery performance too... One stop for everything a person needs in a smart phone
","Worthy and a good product
"
149,23 May 2019,,Yuvaraj,1.0 out of 5 stars,"Requested for refund and return. Heat is produced more when charging the phone and playing vidoes. I would recommend not to buy this phone.
","Failure model
"
150,28 June 2019,,Arun Krishnan,5.0 out of 5 stars,"Nalla ph
","Kidilam
"
151,21 July 2019,,RITESH SINGH,4.0 out of 5 stars,"Product is OK.. It is worth for money but amazone delivery service is too late. Now amazone not acting like previous super fast delivery.
","Too much delivery time
"
152,24 June 2019,,Maruti Varaprasad,4.0 out of 5 stars,"Good
","Good
"
153,31 July 2019,,VIKAS MEENA,5.0 out of 5 stars,"Every features of this Phone is Amazing but the battery backup is not too good.
","Overall the performance and look of phone is outstanding
"
154,12 July 2019,,mitul patel,5.0 out of 5 stars,"Good phone not best because honor fail to battery and performance
","Its good not best.
"
155,25 July 2019,,Suman,4.0 out of 5 stars,"Ok
","Ok
"
156,17 July 2019,One person found this helpful,Prasanna,1.0 out of 5 stars,"Display is not good
","Same
"
